name,image,link,age,sex,breed,town,postcode,charity,description,date
Adopt Cappuccino,/images/d3596510-ddb5-4813-ac5a-9baead5f4706/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-cappuccino,The perfect home,  1 Year Old, Female,,cf72 9nh,Hope Rescue,"Meet Cappuccino – Our Gentle, Goofy Cane Corso Girl 

My details

 Cane Corso

 Female

  1 Year Old

The perfect home

When Cappuccino first arrived with us, she was a worried and nervous girl, unsure of her new surroundings. But with time, patience, and plenty of her favourite treats (she lives for a snack!), she’s made truly heartwarming progress.


This lovely girl is beginning to show her sweet and playful side. She’s learning how much fun toys can be, enjoys a good run around, and has a delightfully goofy streak that’s starting to shine through.


Cappuccino can be strong on the lead, but is learning to walk nicely with her handlers and is especially motivated by food!
She’s looking for a calm, adult-only home where she can continue to grow at her own pace, surrounded by kindness and understanding.

She may also be able to live with another well-matched dog who can show her the ropes and help boost her confidence, pending successful meets at the centre.


If you’ve got a soft spot for sensitive souls and a treat jar at the ready, Cappuccino might just be your perfect match.

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Cappuccino,/images/d3596510-ddb5-4813-ac5a-9baead5f4706/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-cappuccino,The perfect home,  1 Year Old, Female,,cf72 9nh,Hope Rescue,"Meet Cappuccino – Our Gentle, Goofy Cane Corso Girl 

My details

 Cane Corso

 Female

  1 Year Old

The perfect home

When Cappuccino first arrived with us, she was a worried and nervous girl, unsure of her new surroundings. But with time, patience, and plenty of her favourite treats (she lives for a snack!), she’s made truly heartwarming progress.


This lovely girl is beginning to show her sweet and playful side. She’s learning how much fun toys can be, enjoys a good run around, and has a delightfully goofy streak that’s starting to shine through.


Cappuccino can be strong on the lead, but is learning to walk nicely with her handlers and is especially motivated by food!
She’s looking for a calm, adult-only home where she can continue to grow at her own pace, surrounded by kindness and understanding.

She may also be able to live with another well-matched dog who can show her the ropes and help boost her confidence, pending successful meets at the centre.


If you’ve got a soft spot for sensitive souls and a treat jar at the ready, Cappuccino might just be your perfect match.

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Casper,/images/ebb5b6e1-32c4-47fd-a227-60ac5c88d0d0/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-casperr,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Cian,/images/88f10794-7bea-440a-a4fd-191c4f4f1254/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-cian,The perfect home,  1 Years Old,  Male,,cf72 9nh,Hope Rescue,"Cian is a big lad looking for a home of his own! Although just over 30kg Cian is a big softy who is looking for a family to help his confidence grow. 

My details

 Cane Corso

  Male

  1 Years Old

The perfect home

Cian is  currently looking for an adult only home where owners are keen to continue his education. He can sometimes forget his size and will jump up in excitement, he is currently learning how to keep 4 paws on the floor.

He enjoys getting out for walks and when excited can pull quite a bit so he will need continued work on his loose lead walking, however, he will settle on lead after the initial excitement. Cian loves getting time to burn off some of his energy in our off-lead areas.

We have introduced Cian to other dogs in our care and found he can still be quite puppy like in his behaviour, he gets very excited and will play bow and dance around them, he can be a little rude at times but is learning how to interact appropriately, he could live with the right matched dog in his new home that would engage in play with him but also be a role model for him.

Cian will need new adopters who are around during the day whilst he settles in as he can be unsure about being left alone, he may also need help with his toilet training.


Cian will make a fun addition to his new home where he can let his playful side shine through!

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Coco and Tux,/images/eb54b630-6a44-4c61-a55c-c987809b22c9/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-coco-and-tux,The perfect home, 4 Year Old,  Male,,cf72 9nh,Hope Rescue,"Looking for twice the love, twice the fun, and two irresistible personalities rolled into one perfect pair?

My details

Toy Poodles

  Male

 4 Year Old

The perfect home

Meet Coco and Tux - a lively, lovable duo currently thriving with one of our fabulous foster families. They’ve been described as “bundles of joy and love” and we couldn’t say it better ourselves!


Coco and Tux are full of energy, affection, and charisma. They’re always ready for action – whether that’s heading out on an exciting walk, playing in the garden, or just soaking up all the attention they can get. They’re looking for a family who shares their enthusiasm for life and is ready to include them in plenty of daily adventures.

These two absolutely love human company and would prefer not to be left alone for long. Their new family will need to build up time away gradually,  they’re happiest when they’re part of the action and right by your side! They would love to be the only dogs in the home, but would benefit from social doggy friends of similar size to them.  They could live with children 6+ who are use to dogs with a lot of energy and zest for life. 


Whether they’re out exploring or curled up together after a busy day, Coco and Tux bring double the heart and double the fun.  If you’re looking for two cheerful companions who’ll fill your life with love, laughs, and plenty of paw-sitive energy, Coco and Tux are ready and waiting.

Apply to adopt
Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Eric,https://k9-rescue.org/wp-content/uploads/2024/04/eric-header2.jpg,https://k9-rescue.org/portfolio-items/adopt-eric/?portfolioCats=17%2C455,5+ yrs old (born October 2018),Male,,Crymych,,K9 Rescue,"Eric is a loving and affectionate 6 year old male dog for adoption, who is looking for his very own safe haven with a loving family where he can feel secure and cherished.

Eric adores people and simply craves cuddles and affection.  He has a timid nature, so can be uncertain on walks, needing some help with confidence building as he often seeks reassurance, yet he loves his walks in the countryside with his brother Ernie who he relies on for confidence – with further patient guidance and understanding from his new family, he will easily blossom into the vibrant, gregarious spirit he’s meant to be!

This kind and incredibly joyful little boy brims with affection and loyalty, he walks nicely on the lead, is great meeting people and dogs out on his walks, and with his love of people he has great recall, although with his timid nature, he can be easily startled, so off-lead walks should be limited to very safe, quiet places, close to home, that he has already got to know very well over a period of time.

Eric is a sweet, gentle soul, whose heart is full of love, so can suit living with dog savvy kids.  He needs a home in a peaceful setting away from busy towns or cities with access to a garden and would enjoy company for most of the day. Eric becomes much more confident when he is with another dog, as on his own he finds it difficult to cope outside of his safe surroundings, so a home with another dog is a must for Eric, either his new family will have an existing resident dog, or they adopt Eric together with his brother.

In summary, Eric is a really adorable, good natured dog, who, with just a little bit of nurturing, will absolutely flourish with a new loving family.

Background
All of our dogs have lived their whole lives in family groups in an open space, kennel free environment and it is therefore a shock for them to leave all that they know. For this reason, we require Eric’s new family to either have an existing resident dog if introductions go well, or adopt Eric together with another dog.",07/21/2025
Adopt Fenty,/images/ed098757-b38c-4758-b479-254a897c6b25/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-fenty,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Gazelle,/images/cb600ffb-95dd-4ea5-b283-00fa35f037b1/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-gazelle,The perfect home,  7 Years Old, Female,,cf72 9nh,Hope Rescue,"Little Gazelle is ready to leap into her new home, and although just 11kg she can fill a room with her personality. Gazelle is fun little lady who adores her toys and is full of energy so don’t let her age fool you, she can keep up with the best of them.

My details

 Collie Cross

 Female

  7 Years Old

The perfect home

When Gazelle first arrived with us she was under confident but with some patience, treats and toys she has really settled into herself and has shown she will make a wonderful attention to a family home.

She can still be worried in some circumstances so would suit a home where any children are aged 10 and over.
Gazelle loves her walks and would suit an active family who can keep her sharp mind occupied with new adventures and continued training.


We have introduced her to other dogs and have found providing the other dog gives her space initially, she gains in confidence and is happy to walk alongside. She has shown worry and discomfort around boisterous and vocal dogs so is currently looking for a pet free home where she can continue to work on her social skills.


She would suit a home where owners are around during the day to help with toilet training and learning to be left alone.
If you are looking for a small but intelligent dog then Gazelle is the one for you.

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Luna,/images/3318507e-27a3-405c-80a4-7f49dfa6e675/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-luna, 5 Years Old, Female, French Bulldog ,,cf72 9nh,Hope Rescue,"Luna is a sweet girl who is extremely loves cuddling up on the sofa with her current foster family, If she had it her way she would spend all day curled up next to her favourite people.

My details

 French Bulldog 

 Female

 5 Years Old

The perfect home

Luna can happily walk next to other dogs whilst out exploring; however, she would prefer to be the only dog in the home so she can soak up all the attention.

Luna is doing really well with her house training but may need a little support as she settles into her new home. She's been left up to 3 hours in her foster home and coped well with this. She enjoys food time but she is currently on a diet to help her stay in tip top shape.

Luna would be better suited to a calm home with children aged 10 years and above who can respect her space and gentle nature.

If you are looking for a future snuggle buddy, Luna could be the one for you!

Apply to adopt
Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Mallory,/images/29c9ec75-3084-4b53-a11f-5b48a2fd1b9b/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-mallory,Mallory adores contact with her handlers and the sight of her handler coming in with her harness ignites that excitement. However Mallory is very engaging and with a tasty treat she soon calms down and is ready to go out on her adventures., 2 years old, Female,,cf72 9nh,Hope Rescue,"Our beautiful girl Mallory is ready and waiting to find her perfect home. This big girl often forgets her size and bounds round like a pup!

 My details

 Bullbreed

 Female

 2 years old

The perfect home

Mallory adores contact with her handlers and the sight of her handler coming in with her harness ignites that excitement. However Mallory is very engaging and with a tasty treat she soon calms down and is ready to go out on her adventures.

Mallory is a strong girl; she can walk well on lead but when excited or when keen to get somewhere she can forget you are on the other end of the lead. To help with this our staff have been working hard to teach Mallory how to walk on a loose lead and aiding in this she is learning to wear a head collar. 

We have introduced Mallory to other dogs whilst in our care and she is able to socialize with them, preferring quieter dogs who aren’t vocal toward her. She tends to be keen to greet initially and is then happy to walk alongside the other dog, we have found at times she can show some frustrated behaviours such as barking and pulling on lead toward other dogs, this can be managed with food and redirection and is something we will show her new adopters. Currently she would be better suited to being an only dog in her new home. 

We are currently looking for Mallory to be rehomed to an adult only home. We have found although she is a very sweet bouncy girl, she can be a little worried at times and would benefit from a quieter environment at home. Whilst settling in she will need someone home during the day, but this could be built up to being left alone for a few hours over the first few weeks. Mallory is clean in the house and travels well in the car.

 Apply to adopt


 


 

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Mallory,/images/29c9ec75-3084-4b53-a11f-5b48a2fd1b9b/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-mallory,Mallory adores contact with her handlers and the sight of her handler coming in with her harness ignites that excitement. However Mallory is very engaging and with a tasty treat she soon calms down and is ready to go out on her adventures., 2 years old, Female,,cf72 9nh,Hope Rescue,"Our beautiful girl Mallory is ready and waiting to find her perfect home. This big girl often forgets her size and bounds round like a pup!

 My details

 Bullbreed

 Female

 2 years old

The perfect home

Mallory adores contact with her handlers and the sight of her handler coming in with her harness ignites that excitement. However Mallory is very engaging and with a tasty treat she soon calms down and is ready to go out on her adventures.

Mallory is a strong girl; she can walk well on lead but when excited or when keen to get somewhere she can forget you are on the other end of the lead. To help with this our staff have been working hard to teach Mallory how to walk on a loose lead and aiding in this she is learning to wear a head collar. 

We have introduced Mallory to other dogs whilst in our care and she is able to socialize with them, preferring quieter dogs who aren’t vocal toward her. She tends to be keen to greet initially and is then happy to walk alongside the other dog, we have found at times she can show some frustrated behaviours such as barking and pulling on lead toward other dogs, this can be managed with food and redirection and is something we will show her new adopters. Currently she would be better suited to being an only dog in her new home. 

We are currently looking for Mallory to be rehomed to an adult only home. We have found although she is a very sweet bouncy girl, she can be a little worried at times and would benefit from a quieter environment at home. Whilst settling in she will need someone home during the day, but this could be built up to being left alone for a few hours over the first few weeks. Mallory is clean in the house and travels well in the car.

 Apply to adopt


 


 

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Mambo,/images/7a7ac80e-8755-4ab0-9c8b-a7ffd0753a6a/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-mambo,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Maverick,/images/339ab58c-b004-40df-9ec0-c4a091d3d02c/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-maverick, 2 years old, Male, Crossbreed,,cf72 9nh,Hope Rescue,"Maverick is a young crossbreed with a goofy personality and a spring in his step. 

Maverick (Or Mav) came into our care as an unclaimed stray. Since his arrival, he has stolen the hearts of many here at our centre. 

My details

 Crossbreed

 Male

 2 years old

The perfect home

Mav is a friendly lad who likes a good squish and a fuss from his humans. Maverick hasn’t had much training input previously and is still learning some of his basic skills. He is looking for new owners that will dedicate some time to his training. Maverick can live with confident children of 14+ who are used to larger dogs.  

Maverick loves other dogs but can find himself a bit frustrated on lead when he cannot say hello. Maverick can be vocal on lead around dogs and needs some support with this. The behaviour team at Hope can help guide new owners on how to best help Mav on his walks. Maverick would benefit from living at home with a well matched and well rounded dog who can provide him with the companionship he seeks from other dogs and build his confidence when seeing other dogs out and about. 

Mav is looking for new owners who could be around the majority of the day as he would need the time he is left home alone to be built up gradually. Maverick may need support with his house training .

Apply to adopt





Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt or Foster Maggie & Kaya,https://k9-rescue.org/wp-content/uploads/2023/12/Maggie-Kaya-header.jpg,https://k9-rescue.org/portfolio-items/adopt-maggie-kaya/?portfolioCats=17%2C455,Approx 11 yrs old (born 2012-2013),Both Female – spayed,,Crymych,,K9 Rescue,"Maggie and Kaya are two adorable bonded female seniors, who have lived together their whole lives, and are therefore looking for a forever home together.

Born 2012-2013 they are both currently 11 years old, and although incredibly fit and healthy (on walks people guess their age as 3-4 years), finding a home for two dogs of this age together is an impossible dream, so they are available for both adoption or fostering under our Forever Foster Initiative, where we pay all of their food and medical bills; all the family have to do is provide a loving forever home, and cherish them and cuddle them for us!

They are both cuddle monsters; Kaya is full on ‘cuddle me’, whereas Maggie is a bit more reserved, and will give a subtle paw tap to ask for a tummy rub.  They love to have an occasional game of chase or spar fight, and are very good natured whilst playing. They both love their walks out and about, they walk nicely on a lead and are very social with strangers, admired by all who meet them out on their walks, and they particularly adore treat time!  Inside the home, they settle nicely, are fully house-trained and enjoy snoozing on a comfy sofa or in a plush basket.

These adorable girls are very social and polite, yet could do with some off-lead training before being allowed to run free – we totally believe in force-free training and love Tamar Geller‘s Loved Dog Method of teaching so highly recommend her books and podcasts for training.

Background
Maggie and Kaya were both originally found separately as abandoned youngsters in Bulgaria, yet were adopted into the same home in 2013 where they had lived together ever since.  Through no fault of their own, their family circumstances suddenly changed and so were returned to our sanctuary in West Wales under our Full Rescue Back Up For Life scheme.",07/21/2025
Adopt Ralphie,/images/29c530e9-0ddb-4b29-8806-6bca4f829f7c/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-ralphie,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Raya and Sierra,/images/40791072-0986-4501-8cb3-2f8c9d91f47a/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-raya-sierra,,"To filter the list of dogs, please select a category below",,,cf72 9nh,Hope Rescue,,07/21/2025
Adopt Reggie,/images/53b7122c-962c-4bb2-a716-68259de17c8f/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-reggie,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Rex,/images/e33cfaaa-1d00-418d-ae60-8b063aa24406/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-rex,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
Adopt Rime and Cloud,/images/5f1c08bf-7ac1-49b4-83f2-f004a4ea658f/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-rime-and-cloud,The perfect home , 6 Years Old, Females,,cf72 9nh,Hope Rescue,"Rime came into our care heavily pregnant and Cloud arrived with a young litter, both girls saw their pups go off to new homes and enjoyed some well earnt TLC!

My details

 Rime - Pointer cross Cloud - Pointer

 Females

 6 Years Old

The perfect home 

Rime and Cloud are in some ways chalk and cheese and in others, they are two peas in a pod!

Both girls have come from a multi dog household and have shown to have a very close bond. They would be happy to share their new home with another dog also, pending successful meets at the centre to gradually build their confidence.

Rime can be reserved when meeting new people whereas Cloud is first in line for fuss. This helps to give Rime confidence in these situations. Once Rime gets to know you she firmly believes she is of lapdog size, so a family who is keen for sofa snuggles is a must!

Due to Rime’s initial apprehension, both girls will need to be rehomed to a family where there aren’t any children present.

Both girls are spotless in their kennel so we are confident it won’t take them long to pick up on their house training. They can often be seen curling up with one another and this helps to give them comfort when left home alone. 

If you are interested in offering a forever home to our gorgeous girls, please do enquire!

Apply to adopt

Share this page
Email
 
Facebook
 
Twitter",07/21/2025
Adopt Rocky,/images/18a229fe-85d7-48a7-8541-5d16d11b6a8f/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-rocky,,,,,cf72 9nh,Hope Rescue,"Sorry, we cannot find the page you are looking for
 

Please try using the menus or search tool at the top of the page or any of the handy shortcuts we have in our footer at the bottom of the page.",07/21/2025
